month,account_id,arr_eur,new_arr_eur,expansion_arr_eur,contraction_arr_eur,churned_arr_eur,usage_overage_revenue_eur,total_executions
2025-05-01,001A000015,32292.00,32292.00,0.00,0.00,0.00,0.00,11787
2025-06-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,11698
2025-07-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,15299
2025-08-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,11032
2025-09-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,15147
2025-10-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,21732
2025-11-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,24035
2025-12-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,24023
2026-01-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,13915
2026-02-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,43950
2026-03-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,32178
2026-04-01,001A000015,32292.00,0.00,0.00,0.00,0.00,0.00,36771
2026-05-01,001A000015,36592.00,0.00,4300.00,0.00,0.00,0.00,29349
2026-06-01,001A000015,36592.00,0.00,0.00,0.00,0.00,0.00,60223
2026-07-01,001A000015,36592.00,0.00,0.00,0.00,0.00,0.00,49934
2026-08-01,001A000015,36592.00,0.00,0.00,0.00,0.00,0.00,25318
2026-09-01,001A000015,36592.00,0.00,0.00,0.00,0.00,0.00,85791
2025-11-01,001A000018,18860.00,18860.00,0.00,0.00,0.00,0.00,815
2025-12-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1254
2026-01-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1088
2026-02-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1044
2026-03-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1010
2026-04-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1117
2026-05-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,872
2026-06-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,901
