lead_id,created_date,lead_source,account_id,workspace_id,email_domain,pql_rule_v1_flag,status,converted_opportunity_id,converted_date,owner_id
00QL0008925,2024-01-01,Paid social,001A008818,,,0,Nurture,,,005S0004
00QL0008784,2024-01-01,Content download,001A001148,,,0,Nurture,,,005S0002
00QL0021916,2024-01-01,SDR Outbound,001A000364,,,0,Nurture,,,005S0003
00QL0008796,2024-01-01,Content download,001A000739,,,0,Disqualified - Student / hobbyist,,,005S0005
00QL0008815,2024-01-01,Content download,001A000566,,,0,Nurture,,,005S0004
00QL0021894,2024-01-01,SDR Outbound,001A001843,,,0,Converted,006O0000011,2024-01-31,005S0006
00QL0008837,2024-01-01,Content download,001A004816,,,0,Disqualified - No fit,,,005S0001
00QL0008855,2024-01-01,Content download,001A005840,,,0,Disqualified - No fit,,,005S0002
00QL0008863,2024-01-01,Content download,,,,0,Nurture,,,005S0003
00QL0021954,2024-01-01,SDR Outbound,001A003262,,,0,Disqualified - No response,,,005S0000
00QL0008947,2024-01-01,Paid search - Enterprise LP,,,,0,Nurture,,,005S0003
00QL0008836,2024-01-01,Content download,001A006865,,,0,Nurture,,,005S0005
00QL0026082,2024-01-01,Partner referral,001A003664,,,0,Nurture,,,
00QL0008889,2024-01-01,Event / Trade show,001A000128,,,0,Nurture,,,005S0000
00QL0008929,2024-01-01,Paid search - Enterprise LP,001A003984,,,0,Nurture,,,005S0002
00QL0021955,2024-01-02,SDR Outbound,001A004893,,,0,Disqualified - No response,,,005S0001
00QL0008806,2024-01-02,Content download,001A003285,,,0,Nurture,,,005S0003
00QL0021906,2024-01-02,SDR Outbound,001A007068,,,0,Nurture,,,005S0005
00QL0008908,2024-01-02,Paid social,001A007785,,,0,Disqualified - No fit,,,005S0006
00QL0008757,2024-01-02,Webinar,001A004192,,,0,Disqualified - No response,,,005S0002
00QL0008827,2024-01-02,Content download,001A005337,,,0,Nurture,,,005S0003
00QL0008896,2024-01-02,Paid social,001A006002,,,0,Nurture,,,005S0003
00QL0008936,2024-01-02,Paid search - Enterprise LP,001A006648,,,0,Nurture,,,005S0006
00QL0008768,2024-01-02,Content download,001A008533,,,0,Disqualified - Student / hobbyist,,,005S0006
00QL0008761,2024-01-02,Webinar,001A002299,,,0,Disqualified - No response,,,005S0003
00QL0008752,2024-01-02,Webinar,001A001742,,,0,Nurture,,,005S0000
00QL0021950,2024-01-03,SDR Outbound,001A005558,,,0,Disqualified - No response,,,005S0004
00QL0008822,2024-01-03,Content download,001A002641,,,0,Nurture,,,005S0003
00QL0008782,2024-01-03,Content download,001A002275,,,0,Nurture,,,005S0000
