month,channel,region,spend_eur
2024-01-01,Community sponsorships,APAC,3192.00
2024-01-01,Community sponsorships,EMEA - DACH,3706.00
2024-01-01,Community sponsorships,EMEA - North,1738.00
2024-01-01,Community sponsorships,EMEA - South,2472.00
2024-01-01,Community sponsorships,EMEA - UK&I,1883.00
2024-01-01,Community sponsorships,LATAM,1236.00
2024-01-01,Community sponsorships,North America,5259.00
2024-01-01,Content download,APAC,650.00
2024-01-01,Content download,EMEA - DACH,919.00
2024-01-01,Content download,EMEA - North,865.00
2024-01-01,Content download,EMEA - South,606.00
2024-01-01,Content download,EMEA - UK&I,527.00
2024-01-01,Content download,LATAM,216.00
2024-01-01,Content download,North America,2358.00
2024-01-01,Content download,Unknown,428.00
2024-01-01,Event / Trade show,APAC,1021.00
2024-01-01,Event / Trade show,EMEA - DACH,5275.00
2024-01-01,Event / Trade show,EMEA - North,2757.00
2024-01-01,Event / Trade show,EMEA - South,2772.00
2024-01-01,Event / Trade show,EMEA - UK&I,1621.00
2024-01-01,Event / Trade show,North America,7286.00
2024-01-01,Event / Trade show,Unknown,964.00
2024-01-01,Paid search - Enterprise LP,APAC,444.00
2024-01-01,Paid search - Enterprise LP,EMEA - DACH,241.00
2024-01-01,Paid search - Enterprise LP,EMEA - North,1027.00
2024-01-01,Paid search - Enterprise LP,EMEA - South,617.00
2024-01-01,Paid search - Enterprise LP,EMEA - UK&I,1093.00
2024-01-01,Paid search - Enterprise LP,North America,2741.00
2024-01-01,Paid search - Enterprise LP,Unknown,1072.00
2024-01-01,Paid search - Self-serve,APAC,12471.00
2024-01-01,Paid search - Self-serve,EMEA - DACH,25254.00
2024-01-01,Paid search - Self-serve,EMEA - North,11452.00
2024-01-01,Paid search - Self-serve,EMEA - South,9279.00
2024-01-01,Paid search - Self-serve,EMEA - UK&I,9942.00
2024-01-01,Paid search - Self-serve,LATAM,12025.00
2024-01-01,Paid search - Self-serve,North America,33687.00
2024-01-01,Paid social,APAC,153.00
2024-01-01,Paid social,EMEA - DACH,1118.00
2024-01-01,Paid social,EMEA - North,1205.00
2024-01-01,Paid social,EMEA - South,217.00
2024-01-01,Paid social,EMEA - UK&I,670.00
2024-01-01,Paid social,North America,1925.00
2024-01-01,Paid social,Unknown,600.00
2024-01-01,Partner MDF,APAC,1432.00
2024-01-01,Partner MDF,EMEA - DACH,4476.00
2024-01-01,Partner MDF,EMEA - North,1902.00
2024-01-01,Partner MDF,EMEA - South,951.00
2024-01-01,Partner MDF,EMEA - UK&I,2019.00
2024-01-01,Partner MDF,LATAM,1624.00
2024-01-01,Partner MDF,North America,2438.00
2024-01-01,Webinar,APAC,399.00
2024-01-01,Webinar,EMEA - DACH,1224.00
2024-01-01,Webinar,EMEA - North,554.00
2024-01-01,Webinar,EMEA - South,533.00
2024-01-01,Webinar,EMEA - UK&I,195.00
2024-01-01,Webinar,LATAM,132.00
2024-01-01,Webinar,North America,1617.00
2024-01-01,Webinar,Unknown,677.00
2024-02-01,Community sponsorships,APAC,2647.00
2024-02-01,Community sponsorships,EMEA - DACH,2824.00
2024-02-01,Community sponsorships,EMEA - North,1644.00
2024-02-01,Community sponsorships,EMEA - South,2624.00
2024-02-01,Community sponsorships,EMEA - UK&I,1445.00
2024-02-01,Community sponsorships,LATAM,2605.00
2024-02-01,Community sponsorships,North America,8464.00
2024-02-01,Content download,APAC,342.00
2024-02-01,Content download,EMEA - DACH,1633.00
2024-02-01,Content download,EMEA - North,1087.00
2024-02-01,Content download,EMEA - South,479.00
2024-02-01,Content download,EMEA - UK&I,457.00
2024-02-01,Content download,LATAM,49.00
2024-02-01,Content download,North America,1545.00
2024-02-01,Content download,Unknown,770.00
2024-02-01,Event / Trade show,APAC,5093.00
2024-02-01,Event / Trade show,EMEA - DACH,9342.00
2024-02-01,Event / Trade show,EMEA - North,2220.00
2024-02-01,Event / Trade show,EMEA - South,3172.00
2024-02-01,Event / Trade show,EMEA - UK&I,814.00
2024-02-01,Event / Trade show,North America,6534.00
2024-02-01,Event / Trade show,Unknown,1752.00
2024-02-01,Paid search - Enterprise LP,APAC,665.00
2024-02-01,Paid search - Enterprise LP,EMEA - DACH,1606.00
2024-02-01,Paid search - Enterprise LP,EMEA - North,1484.00
2024-02-01,Paid search - Enterprise LP,EMEA - South,305.00
2024-02-01,Paid search - Enterprise LP,LATAM,830.00
2024-02-01,Paid search - Enterprise LP,North America,1986.00
2024-02-01,Paid search - Enterprise LP,Unknown,249.00
2024-02-01,Paid search - Self-serve,APAC,13380.00
2024-02-01,Paid search - Self-serve,EMEA - DACH,20324.00
2024-02-01,Paid search - Self-serve,EMEA - North,13429.00
2024-02-01,Paid search - Self-serve,EMEA - South,10606.00
2024-02-01,Paid search - Self-serve,EMEA - UK&I,12819.00
2024-02-01,Paid search - Self-serve,LATAM,10263.00
2024-02-01,Paid search - Self-serve,North America,35702.00
2024-02-01,Paid social,APAC,177.00
2024-02-01,Paid social,EMEA - DACH,603.00
2024-02-01,Paid social,EMEA - North,768.00
2024-02-01,Paid social,EMEA - South,1305.00
2024-02-01,Paid social,EMEA - UK&I,617.00
2024-02-01,Paid social,LATAM,444.00
2024-02-01,Paid social,North America,1662.00
2024-02-01,Paid social,Unknown,164.00
2024-02-01,Partner MDF,APAC,1157.00
2024-02-01,Partner MDF,EMEA - DACH,4231.00
2024-02-01,Partner MDF,EMEA - North,2240.00
2024-02-01,Partner MDF,EMEA - South,1984.00
2024-02-01,Partner MDF,EMEA - UK&I,1199.00
2024-02-01,Partner MDF,LATAM,842.00
2024-02-01,Partner MDF,North America,3781.00
2024-02-01,Webinar,APAC,558.00
2024-02-01,Webinar,EMEA - DACH,694.00
2024-02-01,Webinar,EMEA - North,789.00
2024-02-01,Webinar,EMEA - South,439.00
