opportunity_id,opportunity_name,account_id,opportunity_type,lead_source,owner_id,created_date,close_date,stage_name,forecast_category,amount,currency,is_closed,is_won,loss_reason,primary_competitor,primary_workspace_id,next_step,last_activity_date
006O0000000,Cobalcore - New Business,001A007048,New Business,Product-led (PQL),005A0006,2024-01-16,2024-02-20,Closed Won,,11700.00,EUR,1,1,,Zapier,ws_017033,,2025-01-18
006O0000001,Sellagrid - New Business,001A007090,New Business,Marketing (MQL),005A0007,2024-01-18,2024-05-07,Closed Lost,,101400.00,EUR,1,0,Unresponsive,,,,2025-01-15
006O0000002,Kestmark - New Business,001A004299,New Business,Product-led (PQL),005A0007,2024-01-21,2024-05-18,Closed Lost,,93600.00,USD,1,0,Competitor - Zapier,Zapier,ws_004668,,2025-01-15
006O0000003,Astercore - New Business,001A008533,New Business,Product-led (PQL),005A0003,2024-01-22,2024-02-18,Closed Won,,7100.00,USD,1,1,,,ws_006470,,2025-01-17
006O0000004,Runewave - New Business,001A002927,New Business,Marketing (MQL),005A0006,2024-01-22,2024-05-23,Closed Lost,,58600.00,USD,1,0,Chose self-hosted Community edition,,,,2025-01-20
006O0000005,Ivenfield - New Business,001A003107,New Business,Marketing (MQL),005A0004,2024-01-23,2024-02-19,Closed Lost,,6700.00,USD,1,0,No decision / status quo,,,,2025-01-15
006O0000006,Piralabs - New Business,001A007784,New Business,,005A0006,2024-01-25,2024-06-17,Closed Lost,,20700.00,EUR,1,0,Price / budget,,,,2025-01-16
006O0000007,Briodata - New Business,001A007546,New Business,Marketing (MQL),005A0007,2024-01-25,2024-02-26,Closed Lost,,4800.00,EUR,1,0,Champion left,Workato,,,2025-01-19
006O0000008,Lyralogic - New Business,001A007926,New Business,Partner,005A0002,2024-01-26,2024-03-06,Closed Lost,,8200.00,EUR,1,0,Competitor - Zapier,,,,2025-01-15
006O0000009,Yaratech - New Business,001A003596,New Business,Product-led (PQL),005A0006,2024-01-30,2024-07-01,Closed Lost,,62200.00,USD,1,0,Competitor - Make,Make,ws_010909,,2025-01-19
006O0000010,Deltadata - New Business,001A000618,New Business,Marketing (MQL),005A0001,2024-01-31,2024-05-10,Closed Lost,,49900.00,EUR,1,0,Unresponsive,Zapier,,,2025-01-22
006O0000011,Kestworks - New Business,001A001843,New Business,Outbound,005A0003,2024-01-31,2024-08-03,Closed Lost,,61700.00,USD,1,0,No decision / status quo,,,,2025-01-16
006O0000012,Sellamark - New Business,001A002319,New Business,Product-led (PQL),005A0001,2024-02-01,2024-02-29,Closed Lost,,17500.00,USD,1,0,Unresponsive,,ws_017935,,2025-01-17
006O0000013,Opalbridge - New Business,001A005694,New Business,Product-led (PQL),005A0005,2024-02-04,2024-05-25,Closed Lost,,37700.00,USD,1,0,Competitor - Zapier,,ws_005243,,2025-01-20
006O0000014,Halodata - New Business,001A007770,New Business,Marketing (MQL),005A0000,2024-02-04,2024-07-18,Closed Lost,,182500.00,EUR,1,0,Unresponsive,,,,2025-01-20
006O0000015,Vexmark - New Business,001A001179,New Business,Product-led (PQL),005A0004,2024-02-11,2024-04-15,Closed Won,,15500.00,GBP,1,1,,,ws_000062,,2025-01-22
006O0000016,Oriocore - New Business,001A003023,New Business,Product-led (PQL),005A0006,2024-02-11,2025-02-08,Closed Lost,Omitted,179600.00,USD,1,0,Competitor - Workato,,ws_003801,,2025-02-13
006O0000017,Quarbridge - New Business,001A006923,New Business,Product-led (PQL),005A0007,2024-02-12,2024-03-19,Closed Lost,,0.00,EUR,1,0,Security / compliance review,Zapier,ws_016816,,2025-01-24
006O0000018,Junolabs - New Business,001A002318,New Business,Marketing (MQL),005A0006,2024-02-13,2024-05-29,Closed Won,,18100.00,EUR,1,1,,,,,2025-01-19
006O0000019,Evogrid - New Business,001A003412,New Business,Marketing (MQL),005A0006,2024-02-16,2024-04-01,Closed Lost,,12900.00,EUR,1,0,Competitor - Zapier,,,,2025-01-18
006O0000020,Haloware - New Business,001A000427,New Business,Product-led (PQL),005A0006,2024-02-20,2024-04-07,Closed Lost,,108200.00,USD,1,0,Missing feature / integration,,ws_017809,,2025-01-23
006O0000021,Deltacore - New Business,001A004979,New Business,Marketing (MQL),005A0007,2024-02-20,2024-04-18,Closed Lost,,17500.00,USD,1,0,Missing feature / integration,,,,2025-01-21
006O0000022,Oriomark - New Business,001A000049,New Business,Marketing (MQL),005A0002,2024-02-20,2024-05-17,Closed Lost,,6500.00,EUR,1,0,,Zapier,,,2025-01-18
