history_id,opportunity_id,field,old_value,new_value,created_by,created_at
017H00000000,006O0000000,Amount,,11700.0,migration_user,2025-01-15 03:00:00
017H00000001,006O0000000,CloseDate,,2024-02-20,migration_user,2025-01-15 03:00:00
017H00000002,006O0000000,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000003,006O0000001,Amount,,101400.0,migration_user,2025-01-15 03:00:00
017H00000004,006O0000001,CloseDate,,2024-05-07,migration_user,2025-01-15 03:00:00
017H00000005,006O0000001,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000006,006O0000002,Amount,,93600.0,migration_user,2025-01-15 03:00:00
017H00000007,006O0000002,CloseDate,,2024-05-18,migration_user,2025-01-15 03:00:00
017H00000008,006O0000002,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000009,006O0000003,Amount,,7100.0,migration_user,2025-01-15 03:00:00
017H00000010,006O0000003,CloseDate,,2024-02-18,migration_user,2025-01-15 03:00:00
017H00000011,006O0000003,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000012,006O0000004,Amount,,58600.0,migration_user,2025-01-15 03:00:00
017H00000013,006O0000004,CloseDate,,2024-05-23,migration_user,2025-01-15 03:00:00
017H00000014,006O0000004,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000015,006O0000005,Amount,,6700.0,migration_user,2025-01-15 03:00:00
017H00000016,006O0000005,CloseDate,,2024-02-19,migration_user,2025-01-15 03:00:00
017H00000017,006O0000005,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000018,006O0000006,Amount,,20700.0,migration_user,2025-01-15 03:00:00
017H00000019,006O0000006,CloseDate,,2024-06-17,migration_user,2025-01-15 03:00:00
017H00000020,006O0000006,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000021,006O0000007,Amount,,4800.0,migration_user,2025-01-15 03:00:00
017H00000022,006O0000007,CloseDate,,2024-02-26,migration_user,2025-01-15 03:00:00
017H00000023,006O0000007,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000024,006O0000008,Amount,,8200.0,migration_user,2025-01-15 03:00:00
017H00000025,006O0000008,CloseDate,,2024-03-06,migration_user,2025-01-15 03:00:00
017H00000026,006O0000008,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000027,006O0000009,Amount,,62200.0,migration_user,2025-01-15 03:00:00
017H00000028,006O0000009,CloseDate,,2024-07-01,migration_user,2025-01-15 03:00:00
017H00000029,006O0000009,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000030,006O0000010,Amount,,49900.0,migration_user,2025-01-15 03:00:00
017H00000031,006O0000010,CloseDate,,2024-05-10,migration_user,2025-01-15 03:00:00
017H00000032,006O0000010,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000033,006O0000011,Amount,,61700.0,migration_user,2025-01-15 03:00:00
017H00000034,006O0000011,CloseDate,,2024-08-03,migration_user,2025-01-15 03:00:00
017H00000035,006O0000011,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000036,006O0000012,Amount,,17500.0,migration_user,2025-01-15 03:00:00
017H00000037,006O0000012,CloseDate,,2024-02-29,migration_user,2025-01-15 03:00:00
017H00000038,006O0000012,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000039,006O0000013,Amount,,37700.0,migration_user,2025-01-15 03:00:00
017H00000040,006O0000013,CloseDate,,2024-05-25,migration_user,2025-01-15 03:00:00
017H00000041,006O0000013,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000042,006O0000014,Amount,,182500.0,migration_user,2025-01-15 03:00:00
017H00000043,006O0000014,CloseDate,,2024-07-18,migration_user,2025-01-15 03:00:00
017H00000044,006O0000014,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000045,006O0000015,Amount,,15500.0,migration_user,2025-01-15 03:00:00
017H00000046,006O0000015,CloseDate,,2024-04-15,migration_user,2025-01-15 03:00:00
017H00000047,006O0000015,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000048,006O0000016,Amount,,179600.0,migration_user,2025-01-15 03:00:00
017H00000049,006O0000016,CloseDate,,2025-01-19,migration_user,2025-01-15 03:00:00
017H00000050,006O0000016,StageName,,5 - Negotiation,migration_user,2025-01-15 03:00:00
017H00000051,006O0000016,CloseDate,2025-01-19,2025-02-21,005A0006,2025-01-23 11:00:00
017H00000052,006O0000016,StageName,5 - Negotiation,Closed Lost,005A0006,2025-02-09 04:04:55
017H00000053,006O0000016,ForecastCategoryName,Commit,Omitted,005A0006,2025-02-09 04:04:55
017H00000054,006O0000016,CloseDate,2025-02-21,2025-02-08,005A0006,2025-02-09 04:04:55
017H00000055,006O0000017,Amount,,93200.0,migration_user,2025-01-15 03:00:00
017H00000056,006O0000017,CloseDate,,2024-03-19,migration_user,2025-01-15 03:00:00
017H00000057,006O0000017,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000058,006O0000018,Amount,,18100.0,migration_user,2025-01-15 03:00:00
017H00000059,006O0000018,CloseDate,,2024-05-29,migration_user,2025-01-15 03:00:00
017H00000060,006O0000018,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000061,006O0000019,Amount,,12900.0,migration_user,2025-01-15 03:00:00
017H00000062,006O0000019,CloseDate,,2024-04-01,migration_user,2025-01-15 03:00:00
017H00000063,006O0000019,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000064,006O0000020,Amount,,108200.0,migration_user,2025-01-15 03:00:00
017H00000065,006O0000020,CloseDate,,2024-04-07,migration_user,2025-01-15 03:00:00
017H00000066,006O0000020,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000067,006O0000021,Amount,,17500.0,migration_user,2025-01-15 03:00:00
017H00000068,006O0000021,CloseDate,,2024-04-18,migration_user,2025-01-15 03:00:00
017H00000069,006O0000021,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000070,006O0000022,Amount,,6500.0,migration_user,2025-01-15 03:00:00
017H00000071,006O0000022,CloseDate,,2024-05-17,migration_user,2025-01-15 03:00:00
017H00000072,006O0000022,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000073,006O0000023,Amount,,15200.0,migration_user,2025-01-15 03:00:00
017H00000074,006O0000023,CloseDate,,2024-04-27,migration_user,2025-01-15 03:00:00
017H00000075,006O0000023,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000076,006O0000024,Amount,,5000.0,migration_user,2025-01-15 03:00:00
017H00000077,006O0000024,CloseDate,,2024-03-15,migration_user,2025-01-15 03:00:00
017H00000078,006O0000024,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000079,006O0000025,Amount,,20500.0,migration_user,2025-01-15 03:00:00
017H00000080,006O0000025,CloseDate,,2024-06-08,migration_user,2025-01-15 03:00:00
017H00000081,006O0000025,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000082,006O0000026,Amount,,78900.0,migration_user,2025-01-15 03:00:00
017H00000083,006O0000026,CloseDate,,2024-05-19,migration_user,2025-01-15 03:00:00
017H00000084,006O0000026,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000085,006O0000027,Amount,,9200.0,migration_user,2025-01-15 03:00:00
017H00000086,006O0000027,CloseDate,,2024-08-27,migration_user,2025-01-15 03:00:00
017H00000087,006O0000027,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000088,006O0000028,Amount,,6200.0,migration_user,2025-01-15 03:00:00
017H00000089,006O0000028,CloseDate,,2024-05-11,migration_user,2025-01-15 03:00:00
017H00000090,006O0000028,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000091,006O0000029,Amount,,6700.0,migration_user,2025-01-15 03:00:00
017H00000092,006O0000029,CloseDate,,2024-03-11,migration_user,2025-01-15 03:00:00
017H00000093,006O0000029,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000094,006O0000030,Amount,,13400.0,migration_user,2025-01-15 03:00:00
017H00000095,006O0000030,CloseDate,,2024-04-17,migration_user,2025-01-15 03:00:00
017H00000096,006O0000030,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000097,006O0000031,Amount,,49600.0,migration_user,2025-01-15 03:00:00
017H00000098,006O0000031,CloseDate,,2024-04-24,migration_user,2025-01-15 03:00:00
017H00000099,006O0000031,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000100,006O0000032,Amount,,14500.0,migration_user,2025-01-15 03:00:00
017H00000101,006O0000032,CloseDate,,2024-03-29,migration_user,2025-01-15 03:00:00
017H00000102,006O0000032,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000103,006O0000033,Amount,,76300.0,migration_user,2025-01-15 03:00:00
017H00000104,006O0000033,CloseDate,,2024-05-31,migration_user,2025-01-15 03:00:00
017H00000105,006O0000033,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000106,006O0000034,Amount,,50300.0,migration_user,2025-01-15 03:00:00
017H00000107,006O0000034,CloseDate,,2024-04-22,migration_user,2025-01-15 03:00:00
017H00000108,006O0000034,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000109,006O0000035,Amount,,179100.0,migration_user,2025-01-15 03:00:00
017H00000110,006O0000035,CloseDate,,2024-06-17,migration_user,2025-01-15 03:00:00
017H00000111,006O0000035,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000112,006O0000036,Amount,,77900.0,migration_user,2025-01-15 03:00:00
017H00000113,006O0000036,CloseDate,,2024-06-14,migration_user,2025-01-15 03:00:00
017H00000114,006O0000036,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000115,006O0000037,Amount,,35200.0,migration_user,2025-01-15 03:00:00
017H00000116,006O0000037,CloseDate,,2024-05-03,migration_user,2025-01-15 03:00:00
017H00000117,006O0000037,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000118,006O0000038,Amount,,185600.0,migration_user,2025-01-15 03:00:00
017H00000119,006O0000038,CloseDate,,2024-07-22,migration_user,2025-01-15 03:00:00
017H00000120,006O0000038,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000121,006O0000039,Amount,,19300.0,migration_user,2025-01-15 03:00:00
017H00000122,006O0000039,CloseDate,,2024-08-02,migration_user,2025-01-15 03:00:00
017H00000123,006O0000039,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000124,006O0000040,Amount,,24800.0,migration_user,2025-01-15 03:00:00
017H00000125,006O0000040,CloseDate,,2024-08-03,migration_user,2025-01-15 03:00:00
017H00000126,006O0000040,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000127,006O0000041,Amount,,42000.0,migration_user,2025-01-15 03:00:00
017H00000128,006O0000041,CloseDate,,2024-06-29,migration_user,2025-01-15 03:00:00
017H00000129,006O0000041,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000130,006O0000042,Amount,,10400.0,migration_user,2025-01-15 03:00:00
017H00000131,006O0000042,CloseDate,,2024-04-22,migration_user,2025-01-15 03:00:00
017H00000132,006O0000042,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000133,006O0000043,Amount,,18900.0,migration_user,2025-01-15 03:00:00
017H00000134,006O0000043,CloseDate,,2024-04-14,migration_user,2025-01-15 03:00:00
017H00000135,006O0000043,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000136,006O0000044,Amount,,75300.0,migration_user,2025-01-15 03:00:00
017H00000137,006O0000044,CloseDate,,2024-06-19,migration_user,2025-01-15 03:00:00
017H00000138,006O0000044,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000139,006O0000045,Amount,,16200.0,migration_user,2025-01-15 03:00:00
017H00000140,006O0000045,CloseDate,,2024-09-17,migration_user,2025-01-15 03:00:00
