rep_id,fiscal_quarter,quota_start_date,ramp_pct,quota_eur
005A0000,2024-Q2,2024-04-01,1.00,221000.00
005A0000,2024-Q3,2024-07-01,1.00,221000.00
005A0000,2024-Q4,2024-10-01,1.00,231000.00
005A0000,2025-Q1,2025-01-01,1.00,399000.00
005A0000,2025-Q2,2025-04-01,1.00,401000.00
005A0000,2025-Q3,2025-07-01,1.00,400000.00
005A0000,2025-Q4,2025-10-01,1.00,401000.00
005A0000,2026-Q1,2026-01-01,1.00,546000.00
005A0000,2026-Q2,2026-04-01,1.00,558000.00
005A0000,2026-Q3,2026-07-01,1.00,558000.00
005A0000,2026-Q4,2026-10-01,1.00,548000.00
005A0001,2024-Q2,2024-04-01,1.00,320000.00
005A0001,2024-Q3,2024-07-01,1.00,308000.00
005A0001,2024-Q4,2024-10-01,1.00,318000.00
005A0002,2024-Q2,2024-04-01,1.00,140000.00
005A0002,2024-Q3,2024-07-01,1.00,142000.00
005A0002,2024-Q4,2024-10-01,1.00,136000.00
005A0002,2025-Q1,2025-01-01,1.00,205000.00
005A0002,2025-Q2,2025-04-01,1.00,203000.00
005A0002,2025-Q3,2025-07-01,1.00,201000.00
005A0002,2025-Q4,2025-10-01,1.00,199000.00
005A0002,2026-Q1,2026-01-01,1.00,229000.00
005A0002,2026-Q2,2026-04-01,1.00,229000.00
005A0002,2026-Q3,2026-07-01,1.00,223000.00
005A0002,2026-Q4,2026-10-01,1.00,225000.00
005A0003,2024-Q2,2024-04-01,1.00,169000.00
005A0003,2024-Q3,2024-07-01,1.00,166000.00
005A0003,2024-Q4,2024-10-01,1.00,162000.00
005A0003,2025-Q1,2025-01-01,1.00,174000.00
005A0003,2025-Q2,2025-04-01,1.00,168000.00
005A0003,2025-Q3,2025-07-01,1.00,169000.00
005A0003,2025-Q4,2025-10-01,1.00,166000.00
005A0003,2026-Q1,2026-01-01,1.00,233000.00
005A0003,2026-Q2,2026-04-01,1.00,227000.00
005A0003,2026-Q3,2026-07-01,1.00,224000.00
005A0003,2026-Q4,2026-10-01,1.00,227000.00
005A0004,2024-Q2,2024-04-01,1.00,145000.00
005A0004,2024-Q3,2024-07-01,1.00,145000.00
005A0004,2024-Q4,2024-10-01,1.00,142000.00
005A0004,2025-Q1,2025-01-01,1.00,182000.00
005A0004,2025-Q2,2025-04-01,1.00,182000.00
005A0004,2025-Q3,2025-07-01,1.00,181000.00
005A0004,2025-Q4,2025-10-01,1.00,181000.00
005A0004,2026-Q1,2026-01-01,1.00,204000.00
005A0004,2026-Q2,2026-04-01,1.00,204000.00
005A0004,2026-Q3,2026-07-01,1.00,212000.00
005A0004,2026-Q4,2026-10-01,1.00,211000.00
005A0005,2024-Q2,2024-04-01,1.00,64000.00
005A0005,2024-Q3,2024-07-01,1.00,66000.00
005A0005,2024-Q4,2024-10-01,1.00,66000.00
005A0005,2025-Q1,2025-01-01,1.00,92000.00
005A0005,2025-Q2,2025-04-01,1.00,90000.00
005A0005,2025-Q3,2025-07-01,1.00,90000.00
005A0005,2025-Q4,2025-10-01,1.00,91000.00
005A0005,2026-Q1,2026-01-01,1.00,146000.00
005A0005,2026-Q2,2026-04-01,1.00,148000.00
005A0005,2026-Q3,2026-07-01,1.00,148000.00
005A0005,2026-Q4,2026-10-01,1.00,152000.00
005A0006,2024-Q2,2024-04-01,1.00,265000.00
005A0006,2024-Q3,2024-07-01,1.00,273000.00
005A0006,2024-Q4,2024-10-01,1.00,264000.00
005A0006,2025-Q1,2025-01-01,1.00,359000.00
005A0006,2025-Q2,2025-04-01,1.00,356000.00
005A0006,2025-Q3,2025-07-01,1.00,344000.00
005A0006,2025-Q4,2025-10-01,1.00,356000.00
005A0006,2026-Q1,2026-01-01,1.00,479000.00
005A0006,2026-Q2,2026-04-01,1.00,476000.00
005A0006,2026-Q3,2026-07-01,1.00,480000.00
005A0006,2026-Q4,2026-10-01,1.00,497000.00
005A0007,2024-Q2,2024-04-01,1.00,19000.00
005A0007,2024-Q3,2024-07-01,1.00,19000.00
005A0007,2024-Q4,2024-10-01,1.00,19000.00
005A0007,2025-Q1,2025-01-01,1.00,86000.00
005A0007,2025-Q2,2025-04-01,1.00,88000.00
005A0007,2025-Q3,2025-07-01,1.00,88000.00
005A0007,2025-Q4,2025-10-01,1.00,89000.00
005A0007,2026-Q1,2026-01-01,1.00,157000.00
005A0007,2026-Q2,2026-04-01,1.00,155000.00
005A0007,2026-Q3,2026-07-01,1.00,159000.00
005A0007,2026-Q4,2026-10-01,1.00,156000.00
005A0008,2025-Q2,2025-04-01,0.25,21000.00
005A0008,2025-Q3,2025-07-01,0.50,43000.00
005A0008,2025-Q4,2025-10-01,0.75,65000.00
005A0008,2026-Q1,2026-01-01,1.00,123000.00
005A0008,2026-Q2,2026-04-01,1.00,125000.00
005A0008,2026-Q3,2026-07-01,1.00,121000.00
005A0008,2026-Q4,2026-10-01,1.00,123000.00
005A0009,2025-Q2,2025-04-01,0.25,118000.00
005A0009,2025-Q3,2025-07-01,0.50,227000.00
005A0009,2025-Q4,2025-10-01,1.00,477000.00
005A0009,2026-Q1,2026-01-01,1.00,366000.00
005A0009,2026-Q2,2026-04-01,1.00,382000.00
005A0009,2026-Q3,2026-07-01,1.00,381000.00
005A0009,2026-Q4,2026-10-01,1.00,372000.00
005A0010,2025-Q4,2025-10-01,0.25,50000.00
005A0010,2026-Q1,2026-01-01,0.50,187000.00
005A0010,2026-Q2,2026-04-01,1.00,362000.00
005A0010,2026-Q3,2026-07-01,1.00,377000.00
005A0010,2026-Q4,2026-10-01,1.00,362000.00
005A0011,2024-Q2,2024-04-01,0.25,50000.00
005A0011,2024-Q3,2024-07-01,0.50,102000.00
005A0011,2024-Q4,2024-10-01,1.00,196000.00
