month,workspace_id,plan,executions,active_workflows,active_users,ai_node_executions,distinct_integrations_used,failed_execution_rate,self_serve_mrr_eur
2024-01-01,ws_000062,Starter,242,10,6,2,1,0.0543,24.00
2024-01-01,ws_000080,Starter,919,18,1,126,5,0.0822,24.00
2024-01-01,ws_000117,Community (free),,,,,,,0.00
2024-01-01,ws_000142,Community (free),647,14,6,80,5,0.0299,0.00
2024-01-01,ws_000272,Starter,1398,19,5,211,5,0.0364,24.00
2024-01-01,ws_000544,Starter,199,8,4,10,4,0.0319,24.00
2024-01-01,ws_000671,Starter,721,14,2,55,4,0.0465,24.00
2024-01-01,ws_000682,Starter,289,10,3,19,3,0.1529,24.00
2024-01-01,ws_000814,Community (free),160,9,4,26,1,0.0172,0.00
2024-01-01,ws_000838,Starter,284,7,3,4,4,0.1127,24.00
2024-01-01,ws_000847,Starter,277,8,4,0,1,0.0664,24.00
2024-01-01,ws_000952,Starter,82,3,4,5,3,0.0652,24.00
2024-01-01,ws_000962,Starter,64,7,2,8,3,0.0346,24.00
2024-01-01,ws_001087,Starter,363,8,5,62,2,0.0269,24.00
2024-01-01,ws_001193,Starter,115,6,1,18,1,0.0453,24.00
2024-01-01,ws_001264,Starter,97,4,1,6,2,0.0417,24.00
2024-01-01,ws_001433,Starter,888,16,2,28,4,0.0359,24.00
2024-01-01,ws_001474,Starter,180,9,1,27,3,0.0138,24.00
2024-01-01,ws_001497,Community (free),46,4,5,0,3,0.1130,0.00
2024-01-01,ws_001739,Starter,1589,20,3,167,5,0.1690,24.00
2024-01-01,ws_002110,Community (free),508,13,4,56,2,0.0336,0.00
2024-01-01,ws_002161,Starter,207,9,1,22,1,0.0781,24.00
2024-01-01,ws_002189,Starter,1325,19,5,138,6,0.0328,24.00
2024-01-01,ws_002190,Starter,97,6,1,7,2,0.0150,24.00
2024-01-01,ws_002354,Starter,332,13,3,15,4,0.0321,24.00
2024-01-01,ws_002414,Community (free),301,10,3,32,2,0.0075,0.00
2024-01-01,ws_002660,Starter,270,11,4,40,5,0.0183,24.00
2024-01-01,ws_002851,Starter,94,7,2,9,3,0.0526,24.00
2024-01-01,ws_002962,Starter,186,8,3,24,1,0.0641,24.00
2024-01-01,ws_002994,Community (free),322,11,3,39,1,0.0239,0.00
2024-01-01,ws_003086,Starter,883,14,4,92,5,0.0750,24.00
2024-01-01,ws_003169,Community (free),121,10,1,15,1,0.0309,0.00
2024-01-01,ws_003320,Starter,70,6,3,5,3,0.0181,24.00
2024-01-01,ws_003338,Starter,430,12,4,49,4,0.0476,24.00
2024-01-01,ws_003458,Community (free),89,8,1,4,2,0.1049,0.00
2024-01-01,ws_003492,Starter,399,10,3,57,2,0.0522,24.00
2024-01-01,ws_003543,Starter,63,3,2,6,3,0.1227,24.00
2024-01-01,ws_003560,Starter,920,17,4,109,4,0.0507,24.00
2024-01-01,ws_003585,Starter,275,12,2,19,2,0.0443,24.00
2024-01-01,ws_003675,Community (free),132,8,2,4,2,0.0542,0.00
2024-01-01,ws_003801,Starter,2733,23,5,140,5,0.0508,24.00
2024-01-01,ws_003879,Starter,352,12,2,0,1,0.0728,24.00
2024-01-01,ws_003886,Starter,67,7,4,5,4,0.0375,24.00
