workspace_id,account_id,signup_date,hosting_type,signup_source,telemetry_enabled,owner_email_domain,is_active,churned_month
ws_000000,,2026-09-04,cloud,Template library,1,gmail.com,1,
ws_000001,001A003557,2024-03-11,cloud,Direct,1,ciralogic.eu,0,2026-01-01
ws_000002,001A005212,2026-01-10,cloud,Organic search,1,xenocore.eu,1,
ws_000003,,2026-06-06,cloud,YouTube / Tutorials,1,icloud.com,1,
ws_000004,001A005349,2025-06-18,cloud,YouTube / Tutorials,1,verabridge.de,0,2025-07-01
ws_000005,001A001672,2026-03-22,self_hosted_business,GitHub / Docs,1,yaraline.io,1,
ws_000006,001A007525,2026-05-18,self_hosted_community,Organic search,1,ternline.io,1,
ws_000007,001A000662,2025-04-20,cloud,Organic search,1,quarpath.com,1,
ws_000008,001A003679,2026-05-21,cloud,GitHub / Docs,1,vextech.net,1,
ws_000009,001A004034,2026-09-21,self_hosted_community,GitHub / Docs,1,briolabs.co,1,
ws_000010,,2025-04-04,cloud,YouTube / Tutorials,1,outlook.com,0,2025-12-01
ws_000011,001A007776,2024-12-22,self_hosted_business,Direct,1,solvware.eu,1,
ws_000012,,2026-08-05,cloud,Organic search,1,yahoo.com,1,
ws_000013,001A000960,2024-02-04,cloud,YouTube / Tutorials,1,piramark.de,0,2024-05-01
ws_000014,001A007851,2024-09-19,cloud,YouTube / Tutorials,1,granstack.com,1,
ws_000015,001A008252,2025-07-01,cloud,Direct,1,mosapath.de,1,
ws_000016,001A008592,2026-03-07,cloud,Community forum,1,fjelpath.com,1,
ws_000017,001A003644,2026-08-06,cloud,Direct,1,cobalwave.io,1,
ws_000018,,2025-11-28,cloud,Organic search,1,gmail.com,0,2025-12-01
ws_000019,,2026-05-01,cloud,YouTube / Tutorials,1,yahoo.com,1,
ws_000020,001A008133,2025-03-16,cloud,Template library,1,terncore.de,0,2025-11-01
ws_000021,,2026-03-25,cloud,YouTube / Tutorials,1,proton.me,0,2026-06-01
ws_000022,001A004985,2025-02-27,cloud,Organic search,1,oriolabs.com,0,2025-11-01
ws_000023,001A007480,2026-07-10,cloud,Template library,1,oriologic.co,0,2026-09-01
ws_000024,001A000126,2025-06-04,cloud,Direct,1,boreaflow.co,1,
ws_000025,001A008489,2026-04-27,cloud,Paid search,1,solvpath.io,0,2026-09-01
ws_000026,001A007470,2025-07-08,self_hosted_business,Organic search,1,valimark.net,0,2026-03-01
ws_000027,001A003410,2025-12-04,self_hosted_community,Organic search,1,nexadata.eu,1,
ws_000028,001A002583,2026-02-07,self_hosted_community,Organic search,1,zephfield.de,1,
ws_000029,,2025-01-19,cloud,YouTube / Tutorials,1,gmail.com,1,
ws_000030,001A004377,2025-04-09,cloud,Template library,1,cobalcore.co,0,2025-08-01
ws_000031,,2025-03-03,cloud,Referral,1,proton.me,1,
ws_000032,001A007804,2025-08-22,cloud,Organic search,1,nexagrid.de,1,
ws_000033,001A008288,2024-04-20,cloud,Template library,1,solvtech.com,1,
ws_000034,,2026-09-12,self_hosted_community,YouTube / Tutorials,1,icloud.com,1,
ws_000035,001A008752,2025-04-01,cloud,Organic search,1,bramfield.co,0,2025-11-01
ws_000036,,2025-08-18,cloud,GitHub / Docs,1,yahoo.com,0,2025-10-01
ws_000037,,2025-03-03,cloud,Organic search,1,proton.me,0,2025-09-01
ws_000038,001A004971,2025-07-04,cloud,GitHub / Docs,1,mosanet.com,0,2025-10-01
ws_000039,,2026-08-08,self_hosted_community,Paid search,1,yahoo.com,1,
ws_000040,,2026-03-03,cloud,Paid search,1,yahoo.com,1,
ws_000041,001A001652,2025-10-16,cloud,GitHub / Docs,1,mosapath.net,0,2025-12-01
ws_000042,,2026-03-27,cloud,Paid search,1,icloud.com,0,2026-04-01
ws_000043,,2025-10-15,cloud,YouTube / Tutorials,1,yahoo.com,0,2026-01-01
ws_000044,001A003145,2024-12-11,cloud,Referral,1,brioware.com,0,2025-02-01
ws_000045,,2025-04-18,cloud,Paid search,1,proton.me,0,2025-05-01
ws_000046,001A003857,2025-10-11,self_hosted_community,Paid search,0,fjelwave.io,1,
ws_000047,001A004069,2026-04-23,self_hosted_business,GitHub / Docs,1,mosalabs.com,1,
ws_000048,,2024-05-01,cloud,Direct,1,outlook.com,0,2024-07-01
ws_000049,001A008287,2025-06-03,cloud,GitHub / Docs,1,valisys.de,1,
ws_000050,001A001120,2024-09-11,cloud,Community forum,1,sellafield.de,0,2025-01-01
ws_000051,001A006817,2026-02-16,cloud,GitHub / Docs,1,mosafield.com,1,
ws_000052,001A008175,2025-01-14,cloud,Referral,1,korasys.io,1,
ws_000053,001A001876,2025-06-08,self_hosted_community,Direct,1,vexsys.de,0,2026-02-01
ws_000054,001A003683,2025-08-22,self_hosted_community,YouTube / Tutorials,1,halovik.com,1,
ws_000055,001A003192,2025-08-14,self_hosted_community,Referral,0,fjelbridge.de,0,2025-11-01
ws_000056,,2025-12-28,cloud,YouTube / Tutorials,1,gmail.com,0,2026-01-01
ws_000057,,2024-08-03,cloud,YouTube / Tutorials,1,proton.me,0,2024-10-01
ws_000058,,2026-06-20,cloud,Organic search,1,icloud.com,0,2026-07-01
ws_000059,001A002336,2025-11-12,self_hosted_community,Template library,0,mosawave.io,1,
ws_000060,001A003875,2025-11-08,self_hosted_business,Organic search,1,mosaflow.io,1,
ws_000061,001A008505,2025-03-11,cloud,YouTube / Tutorials,1,runemark.eu,0,2026-02-01
ws_000062,001A001179,2024-01-20,cloud,YouTube / Tutorials,1,vexmark.de,0,2024-03-01
ws_000063,001A002689,2026-01-26,self_hosted_community,Paid search,1,xenostack.net,1,
ws_000064,001A006116,2025-10-23,cloud,Organic search,1,ternpoint.co,0,2026-01-01
ws_000065,001A006408,2025-07-03,cloud,Template library,1,astervik.eu,0,2025-11-01
ws_000066,001A007576,2025-11-12,cloud,Template library,1,junolabs.io,0,2026-01-01
ws_000067,001A002580,2026-03-03,self_hosted_community,YouTube / Tutorials,0,stranet.eu,1,
ws_000068,001A005718,2025-11-09,cloud,GitHub / Docs,1,yaralogic.io,0,2026-06-01
ws_000069,001A004047,2025-08-13,self_hosted_community,GitHub / Docs,1,orioworks.eu,1,
ws_000070,001A008699,2026-09-12,cloud,Paid search,1,solvvik.eu,1,
ws_000071,001A007069,2025-12-27,cloud,Organic search,1,runedata.de,1,
ws_000072,,2025-03-28,self_hosted_business,GitHub / Docs,1,icloud.com,1,
ws_000073,001A005646,2025-01-22,cloud,Organic search,1,veracore.com,0,2025-02-01
ws_000074,001A008425,2025-09-01,self_hosted_community,Template library,0,oriosys.eu,1,
ws_000075,001A008341,2024-09-09,cloud,GitHub / Docs,1,wendfield.eu,0,2025-03-01
ws_000076,001A007752,2024-03-03,self_hosted_business,Direct,1,astermark.de,0,2024-08-01
ws_000077,,2025-12-21,self_hosted_community,Organic search,1,yahoo.com,0,2026-04-01
ws_000078,001A004061,2025-08-08,cloud,YouTube / Tutorials,1,miraline.eu,0,2025-09-01
ws_000079,001A002760,2026-06-03,cloud,Organic search,1,sellafield.net,1,
ws_000080,001A000063,2024-01-13,cloud,Organic search,1,solvfield.eu,0,2024-02-01
ws_000081,001A005511,2026-04-28,cloud,GitHub / Docs,1,evobridge.net,1,
ws_000082,001A007079,2026-04-07,self_hosted_community,GitHub / Docs,1,fjelpoint.com,1,
ws_000083,001A004051,2026-06-06,cloud,Organic search,1,ternlabs.net,1,
ws_000084,,2026-06-20,cloud,Paid search,1,proton.me,1,
ws_000085,001A004793,2026-09-05,cloud,GitHub / Docs,1,quarsys.de,1,
ws_000086,001A007211,2024-09-10,cloud,GitHub / Docs,1,stramark.eu,1,
ws_000087,001A000161,2025-05-01,self_hosted_community,Community forum,1,cobalcore.eu,1,
ws_000088,001A004276,2026-09-19,cloud,Organic search,1,briologic.com,1,
ws_000089,001A002542,2026-06-09,cloud,Referral,1,piratech.io,1,
ws_000090,001A003916,2026-06-21,cloud,GitHub / Docs,1,pirapath.eu,1,
ws_000091,,2025-12-02,cloud,GitHub / Docs,1,yahoo.com,1,
ws_000092,001A002113,2026-09-15,cloud,GitHub / Docs,1,yarafield.eu,1,
ws_000093,001A007451,2025-08-27,cloud,YouTube / Tutorials,1,terndata.net,0,2026-05-01
ws_000094,001A007895,2025-06-21,cloud,Organic search,1,opallabs.de,0,2026-01-01
ws_000095,,2026-09-10,self_hosted_community,Paid search,1,outlook.com,1,
ws_000096,001A004482,2025-05-19,self_hosted_community,Direct,1,miragrid.io,0,2026-08-01
ws_000097,001A004339,2026-08-15,cloud,Direct,1,briovik.co,1,
ws_000098,,2025-07-01,self_hosted_community,GitHub / Docs,0,icloud.com,0,2026-07-01
ws_000099,,2026-04-08,cloud,Template library,1,yahoo.com,0,2026-05-01
ws_000100,001A006029,2025-10-05,cloud,Organic search,1,briofield.com,0,2026-02-01
ws_000101,001A006169,2026-01-05,cloud,YouTube / Tutorials,1,lumosys.eu,1,
ws_000102,,2026-08-07,self_hosted_community,YouTube / Tutorials,0,yahoo.com,1,
ws_000103,001A001441,2026-04-02,self_hosted_community,GitHub / Docs,1,wenddata.de,0,2026-06-01
ws_000104,001A006692,2026-05-16,self_hosted_community,GitHub / Docs,1,evocore.de,1,
ws_000105,001A001900,2025-09-14,self_hosted_community,Direct,0,evoflow.de,0,2026-01-01
ws_000106,001A007877,2024-07-24,cloud,YouTube / Tutorials,1,opalpoint.com,0,2025-02-01
ws_000107,001A003342,2026-08-10,self_hosted_community,YouTube / Tutorials,0,nexaflow.com,0,2026-09-01
ws_000108,,2026-09-03,self_hosted_community,Organic search,1,outlook.com,1,
ws_000109,001A005790,2025-03-16,cloud,Direct,1,iventech.com,0,2025-05-01
ws_000110,,2026-07-26,self_hosted_community,GitHub / Docs,1,icloud.com,1,
ws_000111,001A004091,2025-12-26,self_hosted_community,Referral,0,umbrastack.eu,1,
ws_000112,001A005313,2025-06-25,self_hosted_community,Organic search,1,mosastack.co,1,
ws_000113,,2024-03-28,cloud,GitHub / Docs,1,icloud.com,0,2025-05-01
ws_000114,001A001494,2026-05-23,cloud,Direct,1,oriodata.io,0,2026-06-01
ws_000115,001A006991,2026-09-21,cloud,YouTube / Tutorials,1,solvcore.eu,1,
ws_000116,001A004622,2025-01-09,cloud,YouTube / Tutorials,1,straflow.io,0,2025-02-01
ws_000117,,2024-01-09,self_hosted_community,Referral,0,outlook.com,0,2024-05-01
ws_000118,001A004088,2025-05-20,self_hosted_community,Paid search,1,nexawave.com,0,2026-03-01
ws_000119,,2026-08-02,self_hosted_community,Paid search,1,gmail.com,1,
ws_000120,001A004736,2026-07-09,self_hosted_community,Organic search,0,mosafield.net,0,2026-08-01
ws_000121,001A008012,2025-08-15,cloud,Template library,1,koranet.co,0,2026-02-01
ws_000122,001A003403,2026-06-09,cloud,GitHub / Docs,1,quargrid.co,1,
ws_000123,,2025-04-18,self_hosted_community,Organic search,1,outlook.com,0,2025-06-01
ws_000124,,2025-12-12,cloud,Direct,1,outlook.com,0,2026-06-01
ws_000125,001A000393,2026-03-04,cloud,Organic search,1,talafield.com,1,
ws_000126,001A005454,2024-08-20,self_hosted_community,Paid search,1,evoware.de,1,
ws_000127,001A004589,2024-10-20,self_hosted_community,YouTube / Tutorials,1,ternpoint.co,1,
ws_000128,001A004460,2024-06-05,self_hosted_community,Community forum,0,strasys.de,0,2024-08-01
ws_000129,,2026-09-02,self_hosted_community,Referral,0,icloud.com,1,
ws_000130,,2025-07-19,cloud,YouTube / Tutorials,1,proton.me,1,
ws_000131,001A006101,2025-05-07,cloud,GitHub / Docs,1,talamark.com,0,2026-05-01
ws_000132,001A002634,2025-06-12,cloud,Template library,1,yaraflow.net,0,2026-03-01
ws_000133,001A000261,2026-09-21,self_hosted_community,Organic search,0,grandata.de,1,
ws_000134,001A005017,2024-03-10,cloud,Direct,1,ivenbridge.net,0,2024-12-01
ws_000135,001A004809,2026-08-22,self_hosted_community,Paid search,1,fjelworks.eu,1,
ws_000136,001A004180,2025-12-28,cloud,YouTube / Tutorials,1,brioflow.co,0,2026-09-01
ws_000137,001A004985,2025-11-22,cloud,GitHub / Docs,1,oriolabs.com,0,2026-08-01
